kode,display,nama_pemeriksaan,kategori,permintaan_hasil,sumber
36831-6,CTA Lower extremity vessels W contrast IV,CTA ekstremitas bawah W contrast IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
79073-3,CTA Heart and Coronary arteries W contrast IV,CTA jantung dan arteri koroner dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30593-8,CTA Head vessels WO and W contrast IV,CTA kepala nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30594-6,CTA Neck vessels WO and W contrast IV,CTA leher nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30623-3,CTA Pelvis vessels WO and W contrast IV,CTA pelvis nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30804-9,CTA Chest vessels WO and W contrast IV,CTA thorax nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
89851-0,CTA Unspecified body region limited,CTA untuk perencanaan tindakan bedah,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
72139-9,DBT Breast - bilateral diagnostic,DBT diagnostik bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
86462-9,DBT Breast - unilateral,DBT diagnostik unilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
72142-3,DBT Breast - bilateral screening,DBT skrining bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
97101-0,Flexible sigmoidoscopy+US Study,Flexible sigmoidoscopy dengan lower endoscopic ultrasound,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87167-3,Guidance for transcatheter biopsy,Guidance biopsi transkateter,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
88930-3,Guidance for dilation of stricture and placement of stent of Biliary ducts-- W contrast IV,"Guidance pelebaran perkutaneus transhepatik striktur duktus biliaris, dengan atau tanpa pemasangan stent",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87093-1,Guidance for removal of venous filter from Inferior vena cava,Guidance pelepasan filter vena pada vena cava inferior,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87126-9,Guidance for removal of venous filter from Superior vena cava,Guidance pelepasan filter vena pada vena cava superior,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87092-3,Guidance for placement of venous filter in Inferior vena cava,Guidance pemasangan filter inferior vena cava perkutaneus,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87128-5,Guidance for placement of venous filter in Superior vena cava,Guidance pemasangan filter superior vena cava perkutaneus,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87190-5,Guidance for percutaneous placement of nephroureteral stent of Kidney and Ureter and Urinary bladder,Guidance pemasangan kateter atau stent ureter melalui pelvis renalis secara perkutan untuk injeksi atau drainase;,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87066-7,Guidance for percutaneous placement of nephrostomy tube of Kidney,Guidance pemasangan nefrostomi perkutan,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
88938-6,Guidance for placement of stent in Ureter,Guidance pemasanganan stent ureter,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87094-9,Guidance for reposition of venous filter in Inferior vena cava,Guidance reposisi filter vena pada vena cava inferior,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87127-7,Guidance for reposition of venous filter in Superior vena cava,Guidance reposisi filter vena pada vena cava superior,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
87202-8,Guidance for venous sampling of Vein,Guidance untuk sampling vena,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36626-0,MG Breast - bilateral Views,MG bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39148-2,MG Breast duct Views W contrast intra multiple ducts,MG duktogram dengan kontras ID lebih dari satu duktus payudara,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39054-2,MG Breast duct Views W contrast intra duct,MG duktogram dengan kontras ID satu duktus payudara,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24603-3,MG stereo Guidance for biopsy of Breast,MG guidance stereotaktik untuk biopsi payudara atau penempatan jarum,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24602-5,MG Guidance for biopsy of Breast,MG guidance untuk biopsi payudara atau penempatan jarum,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
48735-5,MG Guidance for localization of Breast,MG guidance wire,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37774-7,MG Breast - right Views,MG kanan,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36627-8,MG Breast - left Views,MG kiri,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
26175-0,MG Breast - bilateral Screening,MG skrining bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46338-0,MG Breast - unilateral Single view,MG unilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36134-5,MR Abdomen W contrast IV,MR abdomen atas dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30668-8,MR Abdomen WO contrast,MR abdomen atas nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
97393-3,MR Abdomen and Pelvis W contrast IV,MR abdomen bawah dan pelvis dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
97391-7,MR Abdomen and Pelvis WO contrast,MR abdomen bawah dan pelvis nonkontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36134-5,MR Abdomen W contrast IV,MR abdomen bawah dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36134-5,MR Abdomen W contrast IV,MR abdomen dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30668-8,MR Abdomen WO contrast,MR abdomen nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24557-1,MR Abdomen WO and W contrast IV,MR abdomen nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39141-7,MR Bone marrow,MR aliran darah sumsum tulang,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24590-2,MR Brain,MR brain,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24748-6,MR Heart,MR cardiac,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36197-2,MR Heart W contrast IV,MR cardiac dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
58750-1,MR Heart W stress,MR cardiac dengan stress imaging,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36482-8,MR Heart WO contrast,MR cardiac nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
95923-9,MR Heart W stress and W contrast IV,MR cardiac nonkontras stress imaging diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39140-9,MR Heart cine for blood flow velocity mapping,MR cardiac untuk mapping kecepatan aliran,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36155-0,MR Internal auditory canal W contrast IV,MR CISS/cochlea dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30658-9,MR Internal auditory canal WO contrast,MR CISS/cochlea nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39037-7,MR Upper extremity W contrast IV,MR ekstremitas atas dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39033-6,MR Upper extremity WO contrast,MR ekstremitas atas nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39034-4,MR Upper extremity WO and W contrast IV,MR ekstremitas atas nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39293-6,MR Lower extremity W contrast IV,MR ekstremitas bawah dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39292-8,MR Lower extremity WO contrast,MR ekstremitas bawah nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39291-0,MR Lower extremity WO and W contrast IV,MR ekstremitas bawah nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
58748-5,Functional MR Brain,MR functional brain nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24802-1,MR Knee,MR genu cartigram,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
39028-6,MR Guidance for needle localization of Unspecified body region,MR guidance untuk penempatan jarum,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36238-4,MR Pituitary and Sella turcica W contrast IV,MR hipofisis dynamic dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30666-2,MR Pituitary and Sella turcica WO contrast,MR hipofisis dynamic nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36091-7,MR Heart limited,MR jantung terbatas,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36230-1,MR Larynx W contrast IV,MR laring kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
48445-1,MR Larynx WO contrast,MR laring nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24841-9,MR Neck W contrast IV,MR leher (neck soft tissue) kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30660-5,MR Neck WO contrast,MR leher (neck soft tissue) nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36231-9,MR Liver W contrast IV,MR liver dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
91715-3,MR Spine Lumbar and Sacrum W contrast IV,MR lumbosacral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
91717-9,MR Spine Lumbar and Sacrum WO contrast,MR lumbosacral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
48440-2,MR Skull base W contrast IV,MR mastoid dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
48687-8,MR Skull base WO contrast,MR mastoid nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37272-2,MR Mediastinum WO and W contrast IV,MR mediastinum dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
80495-5,MR Mediastinum WO contrast,MR mediastinum nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37272-2,MR Mediastinum WO and W contrast IV,MR mediastinum nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36233-5,MR Nasopharynx W contrast IV,MR nasofaring dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36513-0,MR Nasopharynx WO contrast,MR nasofaring nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36820-9,MR Orbit W contrast IV,MR orbita dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36872-0,MR Orbit WO contrast,MR orbita nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36842-3,MR Orbit WO and W contrast IV,MR orbita nonkontras dan diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46321-6,MR Orbit and Face and Neck W contrast IV,"MR orbita, wajah, dan leher dengan kontras IV",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46332-3,MR Orbit and Face and Neck WO contrast,"MR orbita, wajah, dan leher nonkontras",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46310-9,MR Orbit and Face and Neck WO and W contrast IV,"MR orbita, wajah, dan leher nonkontras diikuti dengan kontras IV",Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
43455-5,MR Oropharynx,MR orofaring dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
43455-5,MR Oropharynx,MR orofaring nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
69211-1,MR Nasal bones,MR os nasal nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24589-4,MR Brain W contrast IV,MR otak dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30657-1,MR Brain WO contrast,MR otak nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24587-8,MR Brain WO and W contrast IV,MR otak nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36096-6,MR Brain limited W contrast IV,MR otak terbatas dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36105-5,MR Brain limited WO contrast,MR otak terbatas nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30795-9,MR Breast - bilateral,MR payudara bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36150-1,MR Breast - bilateral W contrast IV,MR payudara bilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36437-2,MR Breast - bilateral WO contrast,MR payudara bilateral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36436-4,MR Breast WO contrast,MR payudara nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36277-2,MR Breast - bilateral WO and W contrast IV,MR payudara nonkontras diikuti dengan kontras bilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46299-4,MR Breast - unilateral,MR payudara unilateral,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46323-2,MR Breast - unilateral W contrast IV,MR payudara unilateral dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
46333-1,MR Breast - unilateral WO contrast,MR payudara unilateral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
43528-9,MR Breast - unilateral WO and W contrast IV,MR payudara unilateral nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36237-6,MR Pelvis W contrast IV,MR pelvis dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30673-8,MR Pelvis WO contrast,MR pelvis nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30674-6,MR Pelvis WO and W contrast IV,MR pelvis nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
25056-3,MR Unspecified body region,MR prosedur,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36244-2,MR Prostate W contrast IV,MR prostat dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36389-5,MR Prostate WO and W contrast IV,MR prostat dynamic nonkontras dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36519-7,MR Prostate WO contrast,MR prostat nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36061-0,MR Scapula,MR scapula bilateral nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36061-0,MR Scapula,MR scapula nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36216-0,MR Upper extremity.joint W contrast IV,MR sendi ekstremitas atas dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36500-7,MR Upper extremity.joint WO contrast,MR sendi ekstremitas atas nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36374-7,MR Upper extremity.joint WO and W contrast IV,MR sendi ekstremitas atas nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
69210-3,MR Lower Extremity Joint Arthrogram,MR sendi ekstremitas bawah arthrogram,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36213-7,MR Lower Extremity Joint W contrast IV,MR sendi ekstremitas bawah dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36497-6,MR Lower Extremity Joint WO contrast,MR sendi ekstremitas bawah nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
36371-3,MR Lower Extremity Joint WO and W contrast IV,MR sendi ekstremitas bawah nonkontras diikuti dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24999-5,MR Temporomandibular joint,MR sendi temporomandibula,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
24915-1,MR Sinuses W contrast IV,MR sinus paranasal dengan kontras IV,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
30662-1,MR Sinuses WO contrast,MR sinus paranasal nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37443-9,MR spectroscopy Unspecified body region,MR spectroscopy mammae dengan kontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
37443-9,MR spectroscopy Unspecified body region,MR spectroscopy mammae nonkontras,Radiologi,Permintaan & Hasil,bag1/Example LOINC Terminology (User
